order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
274721,688,prior,55,4,11,3.0
2455292,688,prior,56,1,9,4.0
2795652,688,prior,57,2,9,1.0
2020844,688,prior,58,1,11,6.0
437979,688,prior,59,1,13,0.0
176163,688,prior,60,1,9,7.0
2543294,688,prior,61,5,8,4.0
1086345,688,prior,62,1,9,3.0
1278948,688,prior,63,2,7,1.0
695415,688,test,64,2,16,0.0
410739,1161,prior,1,3,10,
3155930,1161,prior,2,3,10,14.0
2865884,1161,prior,3,4,7,30.0
2547567,1161,prior,4,5,0,15.0
1885455,1161,prior,5,2,19,4.0
38982,1161,prior,6,1,16,6.0
1407633,1161,prior,7,4,18,10.0
2370412,1161,prior,8,3,8,20.0
3411990,1161,prior,9,6,9,10.0
797320,1161,test,10,0,7,8.0
3338259,1285,prior,1,3,21,
996486,1285,prior,2,5,16,2.0
2408778,1285,prior,3,0,12,2.0
2930630,1285,prior,4,2,15,2.0
2551363,1285,prior,5,2,14,30.0
610732,1285,prior,6,4,15,2.0
302283,1285,prior,7,1,15,4.0
1570619,1285,prior,8,2,16,8.0
685491,1285,prior,9,0,14,5.0
1963605,1285,prior,10,1,15,1.0
2614890,1285,prior,11,2,16,1.0
1872281,1285,prior,12,5,17,3.0
1908073,1285,prior,13,5,9,7.0
472819,1285,prior,14,0,12,2.0
1335337,1285,prior,15,4,17,4.0
2414027,1285,prior,16,4,14,14.0
2788100,1285,prior,17,6,14,9.0
946856,1285,prior,18,6,16,7.0
464615,1285,prior,19,5,14,30.0
1926378,1285,prior,20,1,13,3.0
1053167,1285,prior,21,3,15,2.0
1235631,1285,prior,22,5,17,2.0
516701,1285,prior,23,2,17,4.0
3053496,1285,prior,24,5,16,10.0
1430087,1285,prior,25,4,14,6.0
2975596,1285,prior,26,6,15,9.0
466437,1285,prior,27,0,12,1.0
3254014,1285,prior,28,6,15,6.0
2318323,1285,prior,29,0,13,1.0
1589843,1285,prior,30,1,16,1.0
1937760,1285,prior,31,4,17,3.0
409958,1285,prior,32,5,17,1.0
2003964,1285,prior,33,1,16,3.0
3391821,1285,prior,34,5,17,4.0
1753819,1285,prior,35,0,17,2.0
1221434,1285,prior,36,0,11,7.0
1098542,1285,prior,37,6,12,6.0
1939366,1285,prior,38,1,12,2.0
1434422,1285,prior,39,2,15,1.0
2192858,1285,prior,40,3,14,1.0
3181818,1285,prior,41,4,14,1.0
2832755,1285,prior,42,0,13,3.0
714022,1285,prior,43,5,15,5.0
2706750,1285,prior,44,5,16,7.0
573681,1285,prior,45,6,15,1.0
1504032,1285,prior,46,5,17,6.0
3380822,1285,test,47,6,15,1.0
1138051,1341,prior,1,3,14,
3210774,1341,prior,2,6,15,30.0
1725974,1341,prior,3,3,11,30.0
2905437,1341,prior,4,4,0,30.0
2125876,1341,prior,5,2,6,30.0
3238643,1341,test,6,2,10,21.0
736087,1516,prior,1,3,9,
1467887,1516,prior,2,5,13,9.0
2472280,1516,prior,3,5,10,7.0
583654,1516,test,4,4,19,30.0
3056138,1741,prior,1,1,10,
1286456,1741,prior,2,2,8,1.0
433380,1741,prior,3,1,7,6.0
36926,1741,prior,4,1,8,0.0
1599686,1741,prior,5,2,11,8.0
191793,1741,prior,6,1,11,6.0
2908959,1741,prior,7,1,9,7.0
493648,1741,prior,8,1,7,14.0
2777143,1741,prior,9,4,9,3.0
596065,1741,prior,10,2,10,5.0
1464876,1741,prior,11,3,6,8.0
1943460,1741,prior,12,2,8,20.0
1337270,1741,prior,13,1,9,6.0
908622,1741,prior,14,4,7,17.0
2501773,1741,prior,15,2,7,30.0
2048819,1741,prior,16,1,10,30.0
428986,1741,prior,17,2,8,8.0
2850461,1741,prior,18,1,9,6.0
1525817,1741,prior,19,2,9,8.0
2942699,1741,prior,20,1,8,6.0
2173715,1741,prior,21,3,10,9.0
3022648,1741,prior,22,2,10,6.0
1516882,1741,test,23,1,8,6.0
3323645,1797,prior,1,0,13,
215566,1797,prior,2,6,19,20.0
2598162,1797,prior,3,3,15,30.0
1472331,1797,test,4,0,20,30.0
1811875,2146,prior,1,5,17,
323234,2146,prior,2,2,13,4.0
1123908,2146,prior,3,6,13,30.0
3091005,2146,prior,4,5,11,30.0
533043,2146,prior,5,5,16,30.0
64882,2146,test,6,6,13,15.0
1253325,2706,prior,1,6,10,
1909105,2706,prior,2,3,20,25.0
1733044,2706,prior,3,0,21,18.0
2356248,2706,prior,4,4,16,4.0
2860678,2706,prior,5,5,18,22.0
2145728,2706,prior,6,4,9,6.0
160516,2706,prior,7,4,14,7.0
2871955,2706,prior,8,3,21,6.0
2621033,2706,prior,9,3,18,7.0
2846648,2706,prior,10,6,9,10.0
420482,2706,prior,11,6,8,7.0
1070820,2706,prior,12,6,7,7.0
599472,2706,prior,13,5,14,6.0
1566921,2706,prior,14,4,18,6.0
692692,2706,prior,15,3,18,6.0
300477,2706,prior,16,6,13,10.0
1940452,2706,prior,17,0,16,30.0
2798753,2706,prior,18,3,17,10.0
1283132,2706,prior,19,1,17,12.0
1692596,2706,prior,20,1,20,7.0
1894533,2706,prior,21,2,19,1.0
3297579,2706,prior,22,4,15,9.0
1346891,2706,prior,23,6,11,9.0
3415438,2706,prior,24,4,17,12.0
1702578,2706,prior,25,6,12,16.0
2046804,2706,prior,26,5,15,13.0
593534,2706,prior,27,5,17,7.0
887161,2706,prior,28,6,7,22.0
1188234,2706,prior,29,3,15,18.0
2202547,2706,prior,30,3,14,28.0
2191139,2706,test,31,5,14,9.0
2348611,2918,prior,1,0,14,
1240261,2918,prior,2,0,16,21.0
351139,2918,prior,3,1,16,8.0
3319591,2918,prior,4,0,15,30.0
1436479,2918,prior,5,1,9,30.0
474599,2918,prior,6,0,14,30.0
159767,2918,test,7,0,15,7.0
3203694,3136,prior,1,3,10,
897246,3136,prior,2,2,13,20.0
2707401,3136,prior,3,1,11,30.0
2409364,3136,test,4,2,13,30.0
3114798,3286,prior,1,0,16,
2234515,3286,prior,2,6,13,13.0
2662122,3286,prior,3,3,13,30.0
2892047,3286,prior,4,1,16,5.0
2386252,3286,prior,5,1,23,0.0
3132359,3286,prior,6,4,18,3.0
2721487,3286,test,7,5,14,1.0
1564524,3340,prior,1,6,8,
2344861,3340,prior,2,0,19,30.0
1975339,3340,prior,3,2,21,23.0
1245373,3340,prior,4,5,6,30.0
3250643,3340,prior,5,6,11,8.0
1572352,3340,prior,6,6,16,28.0
1855627,3340,test,7,1,17,30.0
506812,3451,prior,1,3,12,
3350035,3451,prior,2,4,14,8.0
3151305,3451,prior,3,2,13,19.0
2512148,3451,prior,4,1,15,20.0
505177,3451,prior,5,4,13,24.0
1681047,3451,prior,6,1,12,25.0
1435428,3451,prior,7,1,12,21.0
2342709,3451,prior,8,4,12,10.0
2461094,3451,prior,9,6,16,9.0
2254186,3451,prior,10,5,8,20.0
3403674,3451,prior,11,1,14,10.0
653285,3451,prior,12,5,14,30.0
2943651,3451,prior,13,5,9,14.0
211501,3451,test,14,1,17,30.0
1173068,3623,prior,1,3,11,
2672413,3623,prior,2,1,12,5.0
2270677,3623,prior,3,4,11,10.0
725276,3623,prior,4,3,8,6.0
1077486,3623,prior,5,3,9,7.0
1573607,3623,prior,6,1,8,26.0
1848774,3623,prior,7,1,8,7.0
772492,3623,prior,8,2,12,8.0
194969,3623,prior,9,5,5,17.0
1330535,3623,prior,10,2,11,4.0
1047006,3623,prior,11,1,21,13.0
2062647,3623,prior,12,3,20,9.0
628283,3623,prior,13,1,12,12.0
2959238,3623,prior,14,4,12,10.0
1662849,3623,prior,15,2,19,12.0
996063,3623,prior,16,2,9,7.0
2192627,3623,prior,17,3,17,8.0
2310073,3623,prior,18,2,22,30.0
3088949,3623,prior,19,5,9,30.0
631110,3623,prior,20,1,12,30.0
280378,3623,test,21,1,14,21.0
1198976,3648,prior,1,0,18,
3418940,3648,prior,2,6,18,6.0
1566218,3648,prior,3,6,19,7.0
853610,3648,prior,4,6,18,7.0
2605404,3648,prior,5,6,8,14.0
2025268,3648,prior,6,6,19,7.0
1653006,3648,prior,7,6,19,14.0
51352,3648,prior,8,0,14,8.0
13398,3648,prior,9,0,18,14.0
1439604,3648,prior,10,1,10,30.0
1236976,3648,prior,11,1,11,0.0
146539,3648,prior,12,5,10,4.0
1869042,3648,prior,13,6,14,22.0
1756697,3648,prior,14,6,22,14.0
333569,3648,prior,15,6,19,7.0
719715,3648,prior,16,0,17,8.0
2350792,3648,prior,17,5,19,5.0
986156,3648,prior,18,0,1,9.0
1838657,3648,prior,19,6,0,6.0
1617585,3648,prior,20,6,13,7.0
3075067,3648,prior,21,3,10,4.0
3176764,3648,prior,22,6,14,3.0
1308495,3648,prior,23,6,19,7.0
1486134,3648,prior,24,2,16,3.0
205200,3648,prior,25,2,13,7.0
860489,3648,prior,26,0,13,5.0
570234,3648,prior,27,6,19,6.0
324142,3648,prior,28,4,17,5.0
871709,3648,prior,29,0,19,10.0
3219822,3648,prior,30,6,10,6.0
3222293,3648,prior,31,5,18,13.0
3148069,3648,prior,32,6,16,1.0
102386,3648,prior,33,0,15,1.0
2281616,3648,prior,34,0,19,21.0
646721,3648,prior,35,6,0,6.0
3368461,3648,prior,36,6,19,21.0
2137207,3648,test,37,5,16,13.0
804760,4098,prior,1,4,12,
2238793,4098,prior,2,1,12,18.0
1745203,4098,prior,3,4,8,10.0
3286284,4098,prior,4,4,13,21.0
625785,4098,prior,5,2,13,5.0
1387726,4098,prior,6,2,13,14.0
1002799,4098,prior,7,2,13,14.0
1187247,4098,prior,8,2,13,7.0
3197524,4098,prior,9,2,13,7.0
2741591,4098,prior,10,5,12,10.0
377753,4098,prior,11,2,13,4.0
1495434,4098,prior,12,2,13,7.0
580883,4098,prior,13,5,18,3.0
1885988,4098,prior,14,4,13,6.0
1901775,4098,prior,15,2,13,12.0
2507706,4098,prior,16,2,12,7.0
2603897,4098,prior,17,4,14,2.0
2557508,4098,prior,18,2,13,5.0
2216294,4098,prior,19,5,13,3.0
2143751,4098,prior,20,5,13,7.0
1628676,4098,prior,21,1,13,17.0
122411,4098,prior,22,1,9,7.0
3150424,4098,prior,23,1,14,7.0
2973503,4098,prior,24,1,9,14.0
483295,4098,prior,25,2,12,8.0
941454,4098,prior,26,1,9,6.0
707012,4098,prior,27,1,12,21.0
2709668,4098,prior,28,1,11,7.0
652161,4098,prior,29,1,15,7.0
3219122,4098,prior,30,2,8,15.0
572237,4098,prior,31,1,9,6.0
1874271,4098,prior,32,5,18,11.0
1595988,4098,prior,33,2,14,4.0
2894191,4098,prior,34,1,13,6.0
2385870,4098,prior,35,1,13,7.0
3215993,4098,prior,36,5,14,11.0
3304413,4098,prior,37,5,13,14.0
844112,4098,prior,38,2,9,4.0
2152386,4098,test,39,6,11,4.0
703305,4299,prior,1,3,20,
2573104,4299,prior,2,3,7,7.0
2715970,4299,prior,3,3,14,7.0
2644665,4299,prior,4,3,12,14.0
2231937,4299,prior,5,2,9,13.0
3055424,4299,prior,6,5,15,3.0
1188580,4299,prior,7,4,16,6.0
1730698,4299,prior,8,4,9,7.0
2474415,4299,prior,9,2,23,5.0
145950,4299,prior,10,4,17,9.0
249458,4299,prior,11,3,10,6.0
933751,4299,prior,12,1,15,30.0
2570197,4299,prior,13,0,10,13.0
1136374,4299,prior,14,4,11,30.0
2857956,4299,prior,15,0,17,3.0
3245208,4299,prior,16,2,10,9.0
2770129,4299,prior,17,4,18,2.0
1392480,4299,prior,18,4,23,21.0
1880099,4299,prior,19,3,18,6.0
1608228,4299,prior,20,2,12,6.0
2165486,4299,prior,21,3,13,8.0
59079,4299,prior,22,2,10,6.0
978765,4299,prior,23,4,9,2.0
3117367,4299,prior,24,3,11,13.0
2234414,4299,prior,25,4,14,1.0
2762762,4299,prior,26,4,7,14.0
2209025,4299,prior,27,2,15,5.0
1333984,4299,prior,28,5,8,3.0
1088702,4299,prior,29,5,11,7.0
953368,4299,prior,30,3,14,5.0
2298118,4299,prior,31,4,14,8.0
970911,4299,prior,32,4,7,7.0
1075718,4299,prior,33,3,15,6.0
1626592,4299,prior,34,3,16,0.0
877838,4299,prior,35,3,22,7.0
481169,4299,prior,36,3,22,0.0
811759,4299,prior,37,4,11,15.0
3106856,4299,test,38,3,11,6.0
84677,4341,prior,1,0,14,
564450,4341,prior,2,4,15,30.0
2006497,4341,prior,3,0,10,30.0
1991664,4341,prior,4,1,16,8.0
496956,4341,prior,5,0,13,6.0
2726107,4341,prior,6,5,13,19.0
35435,4341,prior,7,5,16,14.0
3257648,4341,prior,8,1,14,30.0
1257694,4341,prior,9,6,7,5.0
1308330,4341,prior,10,1,11,30.0
112268,4341,test,11,0,13,13.0
1064723,4462,prior,1,6,8,
2326855,4462,prior,2,0,12,22.0
1445603,4462,prior,3,0,10,7.0
1660435,4462,test,4,0,0,30.0
1497662,4498,prior,1,3,15,
1496706,4498,prior,2,6,11,30.0
2301679,4498,prior,3,3,11,11.0
1839332,4498,test,4,4,12,15.0
1076500,4593,prior,1,0,17,
2025401,4593,prior,2,3,17,3.0
869458,4593,prior,3,2,19,6.0
2086039,4593,prior,4,1,16,6.0
1082063,4593,prior,5,6,19,5.0
2432468,4593,prior,6,6,11,7.0
3274799,4593,prior,7,3,11,11.0
2489434,4593,prior,8,2,17,13.0
2073526,4593,prior,9,0,19,26.0
1411767,4593,prior,10,3,12,17.0
1887364,4593,prior,11,1,13,19.0
220129,4593,prior,12,1,12,7.0
1778861,4593,prior,13,6,9,5.0
2114744,4593,prior,14,6,9,0.0
2444111,4593,prior,15,1,19,9.0
1448638,4593,prior,16,6,16,5.0
1844124,4593,prior,17,6,8,14.0
1070446,4593,prior,18,0,19,8.0
1746111,4593,prior,19,0,18,7.0
1201332,4593,prior,20,0,9,7.0
1716116,4593,prior,21,4,9,11.0
2484536,4593,prior,22,3,18,6.0
2655597,4593,prior,23,0,16,4.0
321749,4593,prior,24,4,20,4.0
3122446,4593,prior,25,3,19,6.0
145525,4593,prior,26,3,20,21.0
3355363,4593,prior,27,6,11,10.0
1470119,4593,prior,28,2,9,24.0
1138659,4593,test,29,6,13,30.0
3126793,4840,prior,1,5,15,
1710649,4840,prior,2,6,11,8.0
1592478,4840,prior,3,6,16,7.0
2311023,4840,prior,4,4,12,12.0
814513,4840,prior,5,6,11,9.0
1382500,4840,prior,6,6,11,30.0
2318349,4840,prior,7,2,12,3.0
2506639,4840,prior,8,0,14,12.0
1516152,4840,prior,9,4,17,4.0
540838,4840,prior,10,0,13,3.0
232336,4840,prior,11,4,16,4.0
3306766,4840,prior,12,2,17,26.0
2710687,4840,prior,13,6,11,30.0
3120124,4840,prior,14,1,13,9.0
2793589,4840,prior,15,0,9,20.0
2268707,4840,test,16,0,11,14.0
3079740,5708,prior,1,1,16,
415695,5708,prior,2,1,16,7.0
1021091,5708,prior,3,3,16,2.0
298596,5708,prior,4,0,15,11.0
956571,5708,prior,5,0,16,14.0
3013,5708,test,6,5,16,5.0
3129328,6015,prior,1,1,13,
2180028,6015,prior,2,2,15,1.0
1914222,6015,prior,3,4,14,2.0
2615829,6015,prior,4,6,15,2.0
2652390,6015,prior,5,3,16,4.0
612662,6015,prior,6,6,15,3.0
2186573,6015,prior,7,2,14,3.0
2190320,6015,prior,8,4,16,2.0
1697831,6015,prior,9,0,15,3.0
1172642,6015,prior,10,5,11,5.0
2941604,6015,prior,11,6,15,1.0
2569965,6015,prior,12,3,16,4.0
2342154,6015,prior,13,5,14,2.0
1449636,6015,prior,14,0,15,2.0
713015,6015,prior,15,2,14,2.0
3414478,6015,prior,16,6,13,4.0
2691165,6015,prior,17,0,14,1.0
296251,6015,prior,18,5,15,5.0
2020185,6015,prior,19,2,18,4.0
2099626,6015,prior,20,3,18,8.0
420120,6015,prior,21,6,18,3.0
1416636,6015,prior,22,6,16,7.0
898672,6015,prior,23,0,14,8.0
1685418,6015,prior,24,0,15,7.0
1845766,6015,prior,25,6,16,6.0
3387998,6015,prior,26,6,14,7.0
3107824,6015,prior,27,0,10,8.0
983692,6015,prior,28,1,10,1.0
487856,6015,prior,29,0,15,6.0
1899812,6015,prior,30,6,13,27.0
2134704,6015,prior,31,6,16,7.0
2904889,6015,prior,32,6,13,7.0
946359,6015,prior,33,0,12,1.0
81657,6015,prior,34,0,12,7.0
2274495,6015,prior,35,0,14,7.0
714505,6015,prior,36,0,12,7.0
2768305,6015,prior,37,6,14,6.0
1179903,6015,prior,38,0,13,8.0
1440610,6015,prior,39,1,12,15.0
1652045,6015,prior,40,6,15,12.0
2403650,6015,prior,41,0,12,8.0
1616240,6015,prior,42,0,15,7.0
2432776,6015,prior,43,6,14,13.0
3171824,6015,prior,44,1,14,9.0
1722337,6015,prior,45,4,12,3.0
3019035,6015,prior,46,5,13,1.0
2598217,6015,prior,47,0,13,2.0
1519183,6015,prior,48,6,13,6.0
2831520,6015,prior,49,0,15,1.0
1259325,6015,prior,50,0,12,7.0
1912936,6015,prior,51,3,16,10.0
1964880,6015,prior,52,6,16,3.0
2044143,6015,prior,53,6,15,14.0
446366,6015,prior,54,0,13,1.0
1134789,6015,prior,55,3,12,3.0
2875468,6015,prior,56,6,15,3.0
3190762,6015,prior,57,1,14,2.0
1132031,6015,test,58,1,15,7.0
748689,6056,prior,1,2,17,
2298516,6056,prior,2,3,9,15.0
60274,6056,prior,3,5,8,23.0
3409095,6056,prior,4,1,11,24.0
1130391,6056,test,5,5,15,25.0
929431,6190,prior,1,2,11,
1510442,6190,prior,2,3,20,8.0
466598,6190,prior,3,2,12,27.0
3248096,6190,prior,4,0,15,30.0
3066687,6190,prior,5,6,23,6.0
3122923,6190,prior,6,2,16,10.0
1057790,6190,prior,7,2,19,7.0
605402,6190,prior,8,0,7,5.0
2774513,6190,prior,9,2,20,30.0
2999008,6190,prior,10,2,17,30.0
1035583,6190,test,11,0,11,12.0
898660,6252,prior,1,6,20,
384137,6252,prior,2,1,17,23.0
1682785,6252,prior,3,5,14,11.0
2376574,6252,prior,4,6,21,22.0
2024910,6252,prior,5,1,18,30.0
3347716,6252,prior,6,2,12,29.0
68524,6252,prior,7,4,18,30.0
2195729,6252,prior,8,6,16,30.0
2749807,6252,test,9,0,12,22.0
1175714,6282,prior,1,4,12,
1622465,6282,prior,2,5,8,1.0
2762727,6282,prior,3,6,8,8.0
3110193,6282,prior,4,6,7,14.0
1094160,6282,prior,5,6,21,7.0
2825984,6282,prior,6,6,14,30.0
3263462,6282,prior,7,3,20,25.0
2791869,6282,prior,8,0,11,4.0
1684407,6282,prior,9,6,12,6.0
2272293,6282,prior,10,6,0,7.0
2079247,6282,prior,11,5,18,13.0
1797202,6282,prior,12,5,17,7.0
1054041,6282,prior,13,0,12,9.0
445258,6282,prior,14,6,14,6.0
2086582,6282,prior,15,3,22,30.0
1200061,6282,prior,16,5,8,30.0
2920213,6282,test,17,4,22,6.0
2203127,6853,prior,1,6,8,
137705,6853,prior,2,4,19,12.0
668158,6853,prior,3,1,14,30.0
1230957,6853,prior,4,4,12,17.0
1089931,6853,test,5,1,12,30.0
1983610,6859,prior,1,0,11,
891411,6859,prior,2,6,10,13.0
775395,6859,prior,3,3,16,25.0
1590343,6859,prior,4,6,10,17.0
2646360,6859,prior,5,0,10,8.0
3006562,6859,prior,6,6,20,20.0
3391716,6859,prior,7,5,17,6.0
575332,6859,prior,8,6,16,8.0
1933183,6859,prior,9,6,9,7.0
952524,6859,prior,10,0,7,8.0
26700,6859,prior,11,6,9,6.0
31464,6859,prior,12,0,12,8.0
1996330,6859,prior,13,6,10,13.0
414491,6859,prior,14,6,16,0.0
616294,6859,prior,15,6,15,7.0
1995924,6859,prior,16,6,8,28.0
714651,6859,test,17,0,7,22.0
492264,6980,prior,1,5,15,
1616441,6980,prior,2,2,1,11.0
2426610,6980,prior,3,2,17,7.0
1856758,6980,prior,4,1,1,6.0
2242989,6980,prior,5,5,1,11.0
1888552,6980,prior,6,5,15,7.0
1972229,6980,prior,7,6,11,8.0
1400585,6980,prior,8,4,15,12.0
885876,6980,test,9,4,16,14.0
2774141,7097,prior,1,1,18,
1276313,7097,prior,2,3,22,30.0
1777733,7097,prior,3,0,18,30.0
1798636,7097,test,4,1,18,8.0
370927,7335,prior,1,0,13,
2151464,7335,prior,2,2,11,9.0
2807191,7335,prior,3,1,14,20.0
26870,7335,prior,4,3,9,2.0
2316679,7335,test,5,2,15,20.0
1674063,7459,prior,1,1,15,
1236117,7459,prior,2,2,16,8.0
896035,7459,prior,3,2,12,14.0
2033199,7459,prior,4,2,13,14.0
3409623,7459,prior,5,2,17,14.0
2209704,7459,prior,6,2,12,21.0
712087,7459,prior,7,3,15,8.0
296746,7459,prior,8,4,15,8.0
1002867,7459,prior,9,3,13,13.0
2617973,7459,prior,10,5,17,9.0
177406,7459,prior,11,3,18,12.0
2890108,7459,prior,12,5,13,23.0
769673,7459,prior,13,5,12,14.0
966287,7459,prior,14,4,20,13.0
92631,7459,prior,15,1,15,18.0
3070945,7459,prior,16,4,11,24.0
1199460,7459,prior,17,3,12,13.0
498311,7459,prior,18,2,15,27.0
1223847,7459,prior,19,1,10,20.0
1876921,7459,prior,20,5,11,18.0
2011868,7459,prior,21,2,15,11.0
3262636,7459,prior,22,2,18,30.0
2477116,7459,test,23,3,11,22.0
376077,7465,prior,1,2,11,
564575,7465,prior,2,4,13,2.0
665437,7465,prior,3,5,11,1.0
2490895,7465,prior,4,1,16,3.0
3159847,7465,prior,5,4,13,3.0
2079628,7465,prior,6,5,15,8.0
1469044,7465,prior,7,6,15,1.0
506212,7465,prior,8,4,13,5.0
2730260,7465,prior,9,0,12,3.0
1998575,7465,prior,10,2,9,2.0
1774646,7465,prior,11,0,8,5.0
108805,7465,prior,12,0,16,0.0
1507460,7465,prior,13,3,13,3.0
3343175,7465,prior,14,6,15,3.0
253750,7465,prior,15,4,11,5.0
2457054,7465,prior,16,6,16,2.0
3415603,7465,prior,17,2,15,3.0
2712739,7465,prior,18,4,17,2.0
475674,7465,prior,19,3,16,6.0
428284,7465,prior,20,5,9,30.0
862423,7465,prior,21,4,9,30.0
6916,7465,prior,22,1,16,11.0
720798,7465,prior,23,3,10,9.0
1512006,7465,prior,24,2,10,6.0
1430704,7465,prior,25,3,10,8.0
709745,7465,prior,26,3,11,0.0
2539408,7465,prior,27,2,11,13.0
322047,7465,prior,28,3,16,15.0
625540,7465,prior,29,4,9,1.0
2565754,7465,prior,30,0,12,3.0
2050846,7465,test,31,1,9,15.0
2324674,7575,prior,1,4,18,
3209730,7575,prior,2,0,13,3.0
1004235,7575,prior,3,2,17,9.0
413822,7575,prior,4,4,14,30.0
2712289,7575,prior,5,3,12,6.0
2204811,7575,test,6,2,17,6.0
2787817,7873,prior,1,5,18,
2753781,7873,prior,2,2,5,30.0
770116,7873,prior,3,1,11,30.0
1493605,7873,prior,4,6,12,30.0
380958,7873,prior,5,1,19,30.0
819325,7873,prior,6,5,9,18.0
1533436,7873,prior,7,3,22,30.0
2080713,7873,prior,8,1,9,30.0
939137,7873,prior,9,3,22,2.0
1941199,7873,test,10,0,11,11.0
819951,8046,prior,1,3,14,
2743453,8046,prior,2,1,12,5.0
1751108,8046,prior,3,0,14,6.0
653187,8046,prior,4,4,14,4.0
2934064,8046,prior,5,0,14,3.0
2345792,8046,prior,6,1,8,8.0
706120,8046,prior,7,2,10,8.0
754414,8046,prior,8,4,9,9.0
1451878,8046,prior,9,0,12,3.0
735421,8046,prior,10,4,11,4.0
78269,8046,prior,11,0,14,3.0
2828346,8046,prior,12,2,15,2.0
2410421,8046,prior,13,0,19,5.0
3162204,8046,prior,14,2,20,9.0
519426,8046,prior,15,5,13,3.0
916921,8046,prior,16,0,17,2.0
1802819,8046,prior,17,5,11,5.0
2920837,8046,prior,18,2,16,4.0
1522648,8046,prior,19,0,15,5.0
1356494,8046,prior,20,4,14,4.0
2241069,8046,prior,21,1,8,4.0
2446,8046,prior,22,4,9,3.0
2524617,8046,prior,23,1,10,4.0
2994425,8046,prior,24,4,10,3.0
946226,8046,prior,25,0,14,3.0
262290,8046,prior,26,1,13,1.0
1583944,8046,prior,27,6,17,5.0
1375900,8046,prior,28,3,16,4.0
2577608,8046,prior,29,0,17,4.0
2690934,8046,prior,30,4,10,4.0
261870,8046,prior,31,3,11,6.0
2500282,8046,prior,32,1,8,5.0
1546960,8046,prior,33,6,14,12.0
1069412,8046,prior,34,3,13,4.0
2547762,8046,prior,35,0,19,4.0
813296,8046,prior,36,1,17,8.0
154124,8046,prior,37,4,15,3.0
2245069,8046,prior,38,1,11,4.0
3188506,8046,prior,39,3,16,2.0
544535,8046,prior,40,3,9,7.0
3311246,8046,prior,41,6,10,3.0
1308920,8046,prior,42,2,9,3.0
415487,8046,prior,43,0,15,5.0
3018574,8046,prior,44,4,8,4.0
2682643,8046,prior,45,1,11,4.0
95492,8046,prior,46,4,11,3.0
2629228,8046,prior,47,1,15,4.0
776355,8046,prior,48,4,14,3.0
769264,8046,prior,49,0,20,3.0
2391182,8046,test,50,3,15,3.0
1868158,8127,prior,1,0,14,
1046846,8127,prior,2,4,12,4.0
2925718,8127,prior,3,6,15,23.0
2053554,8127,prior,4,0,14,29.0
3030771,8127,test,5,4,13,4.0
2287741,8319,prior,1,0,20,
87917,8319,prior,2,0,11,21.0
983820,8319,prior,3,5,20,5.0
1186986,8319,test,4,6,7,8.0
2992786,8363,prior,1,3,15,
3230092,8363,prior,2,5,10,30.0
2524489,8363,prior,3,3,23,30.0
1313432,8363,test,4,2,15,30.0
336815,8367,prior,1,5,8,
291086,8367,prior,2,4,19,6.0
